ID_PVenta,FolioVenta,IDDeposito,Total,IVA,IEPS
343741,AZH46-153767,1486,9796.4,0.0,0.0
339997,AZW59-219858,1486,1311.76,0.0,0.0
327408,AWW46-127819,1486,3.84,0.0,0.0
352613,AZO30-117339,1501,9761.0,0.0,0.0
345967,AZN21-140342,1501,249.0,0.0,0.0
354134,AWW27-104488,3317,8956.6,0.0,0.0
346764,AZL11-209233,3317,1663.2,0.0,0.0
351805,AZU50-175890,3317,13.83,0.0,0.0
306685,AZQ00-164552,53,4210.5,0.0,0.0
290761,AWX09-168761,53,3375.28,0.0,0.0
304102,AZC42-211369,53,420.0,0.0,0.0
297841,AZZ57-111570,53,2.9,0.0,0.0
309878,AWI22-159346,46,3375.28,0.0,0.0
323418,AZJ23-157857,46,3375.28,0.0,0.0
316358,AZW36-219504,46,2694.3,0.0,0.0
324949,AZO36-117111,46,53.82,0.0,0.0
295926,AZN36-139915,3331,3375.28,0.0,0.0
297633,AZK56-125675,3331,477.45,0.0,0.0
293561,AZL47-208359,3331,6.75,0.0,0.0
345878,AZJ52-158195,74,3375.28,0.0,0.0
350902,AZW39-220053,74,1654.52,0.0,0.0
362965,AZC16-212218,74,4.6,0.0,0.0
217611,AZK02-124966,49,4168.5,0.0,0.0
218352,AZY34-220705,49,3110.1,0.0,0.0
220365,AZL13-207213,49,1521.45,0.0,0.0
232234,AZC01-210336,49,58.44,0.0,0.0
374961,AZO18-117475,1569,2522.1,0.0,0.0
377166,AZJ22-158603,1569,104.91,0.0,0.0
328237,AWW25-104284,1375,13866.96,0.0,0.0
331573,AZO130447-117182,1375,7808.8,0.0,0.0
340052,AZG24-159758,1375,4390.8,0.0,0.0
331783,AZM51-139306,1375,884.5,0.0,0.0
333260,AVC42-87441,1375,2.94,0.0,0.0
388781,AWI13-160239,1391,3375.28,0.0,0.0
392725,AZA37-110714,1391,3375.28,0.0,0.0
396320,AZY36-223467,1391,3201.6,0.0,0.0
384694,AZO09-117615,1391,3164.7,0.0,0.0
373832,AZK27-126561,1391,3152.1,0.0,0.0
376173,AZY38-223187,1391,3126.9,0.0,0.0
400830,AZL06-209984,1391,2632.3,0.0,0.0
373858,AZC03-212389,1391,1174.96,0.0,0.0
374516,AZN04-140606,1391,6.87,0.0,0.0
234357,AZA26-109316,1537,2711.96,0.0,0.0
235934,AVC37-86504,1537,2230.8,0.0,0.0
233058,AZF24-155509,1537,1623.84,0.0,0.0
219904,AZI11-161334,1537,18.4,0.0,0.0
374651,AZL43-209585,1572,1479.45,0.0,0.0
380015,AZK30-126602,1572,20.54,0.0,0.0
280702,AZG09-158927,1475,7128.9,0.0,0.0
281613,AZG14-158945,1475,3512.64,0.0,0.0
277329,AZL57-208070,1475,1223.07,0.0,0.0
271797,AZT24-190060,1475,24.89,0.0,0.0
346202,AZB34-137217,1503,3375.28,0.0,0.0
346883,AZQ55-165061,1503,3375.28,0.0,0.0
361523,AZL49-209445,1503,2767.92,0.0,0.0
354698,AZG47-159928,1503,67.52,0.0,0.0
374204,AZA35-110553,109,1260.0,0.0,0.0
374852,AZY09-223163,109,7.08,0.0,0.0
280643,AWW24-103937,60,2891.8,0.0,0.0
282962,AZG48-158964,60,2700.0,0.0,0.0
285111,AZV02-122369,60,1658.12,0.0,0.0
283324,AZH13-153272,60,27.83,0.0,0.0
213296,AZD52-162142,121,399.8,0.0,0.0
348225,AZQ45-165094,1478,3375.28,0.0,0.0
348525,AWI26-159784,1478,3375.28,0.0,0.0
349862,AZJ13-158249,1478,3375.28,0.0,0.0
361132,AVA55-91039,1478,1302.64,0.0,0.0
345874,AVC37-87570,1478,2.52,0.0,0.0
302692,AWW15-104077,3289,4065.17,0.0,0.0
298138,AZM28-138927,3289,3375.28,0.0,0.0
300176,AWI54-159227,3289,2711.2,0.0,0.0
291367,AZC00-211147,3289,510.11,0.0,0.0
306683,AZQ00-164552,1531,3375.28,0.0,0.0
292565,AZW50-219135,1531,2683.8,0.0,0.0
306191,AZQ33-164547,1531,1179.0,0.0,0.0
295169,AZL25-208392,1531,31.92,0.0,0.0
237599,AZH41-152891,1532,2137.62,0.0,0.0
218498,AZL074630-207175,1532,2114.7,0.0,0.0
217629,AZK49-124967,1532,2111.55,0.0,0.0
232212,AWX34-167923,1532,710.43,0.0,0.0
222104,AZZ05-110931,1532,2.2,0.0,0.0
402001,AZL56-210003,3298,2340.92,0.0,0.0
402002,AZL56-210003,3298,2340.92,0.0,0.0
402003,AZL56-210003,3298,2340.92,0.0,0.0
374106,AZK37-126563,3298,2108.4,0.0,0.0
374860,AZL55-209588,3298,2103.15,0.0,0.0
399793,AZO38-117704,3298,1952.2,0.0,0.0
396653,AZU27-176379,3298,1949.62,0.0,0.0
374565,AZE23-146112,3298,1254.46,0.0,0.0
390574,AZF41-157180,3298,14.6,0.0,0.0
294490,AZH44-153375,57,2340.92,0.0,0.0
301128,AZL44-208485,57,2340.92,0.0,0.0
301129,AZL44-208485,57,2340.92,0.0,0.0
306027,AZO24-116942,57,567.8,0.0,0.0
171642,AZQ00-162879,1536,5242.65,0.0,0.0
159079,AZL51-206280,1536,1411.3,0.0,0.0
162078,AZN44-138556,1536,4.05,0.0,0.0
394327,AZA34-110726,110,1240.46,0.0,0.0
374793,AVC01-87880,110,25.1,0.0,0.0
337764,AWW18-104375,70,3968.72,0.0,0.0
329579,AZW40-219713,70,1552.68,0.0,0.0
329220,AWW35-127840,70,37.92,0.0,0.0
12751,AZQ28-160904,1,5617.5,0.0,0.0
8280,AZM14-135935,1,3375.28,0.0,0.0
13706,AZJ44-154087,1,3375.28,0.0,0.0
8293,AZL22-204095,1,3154.2,0.0,0.0
1977,AZQ57-160759,1,2432.08,0.0,0.0
12373,AZL50-204152,1,2340.92,0.0,0.0
12374,AZL50-204152,1,2340.92,0.0,0.0
12375,AZL50-204152,1,2340.92,0.0,0.0
12376,AZL50-204152,1,2340.92,0.0,0.0
1345,AZA12-107154,1,2261.87,0.0,0.0
10537,AZG15-155765,1,2162.88,0.0,0.0
1921,AZC50-206846,1,2084.55,0.0,0.0
1726,AZN08-137137,1,2055.5,0.0,0.0
4377,AZN58-137163,1,2043.0,0.0,0.0
10162,AZN35-137225,1,2043.0,0.0,0.0
51,AZA06-107113,1,1827.04,0.0,0.0
3319,AZC41-206862,1,5.96,0.0,0.0
280468,AZC11-210990,3283,2252.8,0.0,0.0
272974,AZL02-207990,3283,2208.8,0.0,0.0
278996,AZL58-208102,3283,1336.5,0.0,0.0
287266,AZC07-211102,3283,20.06,0.0,0.0
280644,AWW24-103937,27,2022.0,0.0,0.0
275100,AZJ34-157225,27,1983.3,0.0,0.0
271906,AZR51-138044,27,1802.65,0.0,0.0
281159,AZG20-158938,27,1800.0,0.0,0.0
281158,AZG20-158938,27,1756.32,0.0,0.0
282961,AZG48-158964,27,1756.32,0.0,0.0
278999,AZL58-208102,27,1555.51,0.0,0.0
273291,AZK47-125462,27,11.32,0.0,0.0
373483,AZA06-110525,1453,1915.2,0.0,0.0
408574,AZM26-140012,1453,1850.62,0.0,0.0
397820,AZH55-154448,1453,1788.58,0.0,0.0
392273,AZM16-139848,1453,1769.0,0.0,0.0
395300,AZV55-123388,1453,1766.62,0.0,0.0
379259,AZG44-160171,1453,1738.08,0.0,0.0
395647,AZK47-126776,1453,1551.16,0.0,0.0
373640,AZH51-154069,1453,1270.5,0.0,0.0
389245,AZJ29-158765,1453,70.24,0.0,0.0
301130,AZL44-208485,26,2340.92,0.0,0.0
306431,AZH49-153431,26,2280.0,0.0,0.0
305623,AZH14-153423,26,2059.75,0.0,0.0
300788,AZQ15-164484,26,2054.86,0.0,0.0
290759,AWX09-168761,26,2043.0,0.0,0.0
300480,AZN51-139959,26,2043.0,0.0,0.0
293892,AZY22-221947,26,51.35,0.0,0.0
298430,AZN23-139935,68,2037.96,0.0,0.0
304620,AZI33-162280,68,1952.2,0.0,0.0
297333,AZC06-211249,68,1852.93,0.0,0.0
299132,AZM30-138939,68,5.61,0.0,0.0
327933,AWW05-104278,3292,6001.0,0.0,0.0
344532,AZS10-151114,3292,108.78,0.0,0.0
326148,AWW35-104266,1479,6927.4,0.0,0.0
326149,AWW35-104266,1479,3375.28,0.0,0.0
332825,AZD21-163580,1479,1115.95,0.0,0.0
345030,AWI46-159729,1479,1.37,0.0,0.0
328053,AWW22-104283,1548,3375.28,0.0,0.0
332295,AZC38-211735,1548,2532.27,0.0,0.0
335340,AWW22-127901,1548,25.44,0.0,0.0
304652,AZJ37-157586,32,1952.2,0.0,0.0
300860,AZL00-208481,32,1934.62,0.0,0.0
299911,AZW15-219252,32,1891.12,0.0,0.0
292566,AZW50-219135,32,1754.5,0.0,0.0
293640,AZW06-219156,32,1750.7,0.0,0.0
299909,AZW15-219252,32,1750.7,0.0,0.0
305074,AZC52-211381,32,322.77,0.0,0.0
302499,AZA57-109913,32,1.61,0.0,0.0
385398,AZK14-126652,1494,1395.45,0.0,0.0
396270,AZH48-154432,1494,1220.56,0.0,0.0
390329,AZS52-151524,1494,1186.86,0.0,0.0
394174,AZK53-126761,1494,1185.12,0.0,0.0
393168,AZA18-110717,1494,1183.92,0.0,0.0
400107,AZO09-117706,1494,1132.62,0.0,0.0
399253,AWW49-104848,1494,1130.5,0.0,0.0
399799,AZY52-223519,1494,1122.62,0.0,0.0
397281,AZN32-140925,1494,944.05,0.0,0.0
398531,AWW40-128483,1494,1.8,0.0,0.0
299906,AZW15-219252,3285,1750.0,0.0,0.0
303063,AWX00-168956,3285,1731.28,0.0,0.0
290073,AWW01-103997,3285,1718.31,0.0,0.0
294477,AWX08-168824,3285,1705.61,0.0,0.0
290760,AWX09-168761,3285,1703.7,0.0,0.0
290542,AZL59-208310,3285,1666.5,0.0,0.0
306684,AZQ00-164552,3285,1661.16,0.0,0.0
300268,AZA11-109887,3285,1651.7,0.0,0.0
290758,AWX09-168761,3285,1581.94,0.0,0.0
300789,AZQ15-164484,3285,1569.75,0.0,0.0
306686,AZQ00-164552,3285,1548.86,0.0,0.0
302630,AWX47-168944,3285,1426.25,0.0,0.0
300630,AZF58-156190,3285,26.35,0.0,0.0
350361,AZD59-163772,3313,3375.28,0.0,0.0
350456,AZE05-145830,3313,3375.28,0.0,0.0
350707,AZD33-163779,3313,3375.28,0.0,0.0
348663,AZW59-220017,3313,1535.1,0.0,0.0
345912,AVC48-108638,3313,13.5,0.0,0.0
303361,AZX14-192761,3300,1405.41,0.0,0.0
296372,AZP19-102302,3300,1388.04,0.0,0.0
306423,AZH49-153431,3300,1340.45,0.0,0.0
306190,AZQ33-164547,3300,1317.24,0.0,0.0
298318,AWX49-168866,3300,1301.52,0.0,0.0
303138,AZQ38-164522,3300,1299.46,0.0,0.0
303409,AZV13-122556,3300,1258.58,0.0,0.0
298319,AWX49-168866,3300,1243.81,0.0,0.0
307287,AWI24-159310,3300,1212.0,0.0,0.0
295781,AZP04-102296,3300,734.17,0.0,0.0
302520,AZC01-211338,3300,3.82,0.0,0.0
351359,AZN09-140404,1555,3375.28,0.0,0.0
348900,AZN08-140382,1555,2195.4,0.0,0.0
347739,AZY35-222831,1555,13.32,0.0,0.0
328051,AWW22-104283,1510,6178.8,0.0,0.0
332214,AWW17-104317,1510,2706.0,0.0,0.0
335360,AZW08-219805,1510,169.2,0.0,0.0
298807,AZW56-219231,3282,1155.15,0.0,0.0
296430,AZL54-208416,3282,1154.39,0.0,0.0
305212,AZI47-162285,3282,1147.24,0.0,0.0
305135,AZS43-150748,3282,346.45,0.0,0.0
298161,AZW02-219210,3282,1.44,0.0,0.0
307281,AWI24-159310,31,1137.4,0.0,0.0
300245,AZY09-222072,31,1135.75,0.0,0.0
294215,AVZ12-85426,31,1131.2,0.0,0.0
298808,AZW56-219231,31,1129.95,0.0,0.0
307167,AZE09-145333,31,1122.14,0.0,0.0
307165,AZE09-145333,31,1098.96,0.0,0.0
298809,AZW56-219231,31,1093.05,0.0,0.0
305124,AZG53-159264,31,1088.55,0.0,0.0
307170,AZE09-145333,31,1079.96,0.0,0.0
307258,AZE59-145336,31,1075.4,0.0,0.0
306427,AZH49-153431,31,330.72,0.0,0.0
294008,AZG09-159100,31,2.1,0.0,0.0
353613,AZO27-117346,3314,3375.28,0.0,0.0
369859,AZE26-146073,3314,3375.28,0.0,0.0
351928,AZG52-159902,3314,3073.56,0.0,0.0
362129,AZJ35-158472,3314,1689.1,0.0,0.0
346940,AWI04-159758,3314,16.6,0.0,0.0
271827,AWW30-127176,18,1740.6,0.0,0.0
280645,AWW24-103937,18,1734.0,0.0,0.0
271143,AWW18-103865,18,1655.44,0.0,0.0
271378,AZL42-207963,18,1651.1,0.0,0.0
283098,AZH58-153271,18,1520.57,0.0,0.0
283817,AZO39-116753,18,1461.63,0.0,0.0
280593,AVA26-63446,18,1408.0,0.0,0.0
279213,AZW06-218961,18,1394.8,0.0,0.0
288126,AZN38-139825,18,1368.84,0.0,0.0
281800,AZG21-158947,18,1315.05,0.0,0.0
276060,AZP21-102145,18,1312.82,0.0,0.0
286880,AZG49-158999,18,874.8,0.0,0.0
278189,AZB50-136584,18,9.72,0.0,0.0
328054,AWW22-104283,3288,3375.28,0.0,0.0
328152,AZE46-145561,3288,3375.28,0.0,0.0
339706,AZW07-219852,3288,942.0,0.0,0.0
327994,AVA26-63746,3288,4.16,0.0,0.0
271084,AZL01-207954,34,1208.74,0.0,0.0
280183,AZG35-158919,34,1203.4,0.0,0.0
272018,AZA55-109571,34,1169.88,0.0,0.0
274477,AZK09-125474,34,1159.92,0.0,0.0
280312,AZB48-136605,34,1148.73,0.0,0.0
283868,AZL38-208174,34,1142.9,0.0,0.0
